Experiment;Structure;Fragment;Species;Date;Green;Survival (%)
MAP;3;6;Porites cylindrica;14-4-2020;153.290338;40
MAP;3;7;Acropora verweyi;14-4-2020;155.6055769;100
MAP;3;8;Porites cylindrica;14-4-2020;181.2820013;70
MAP;3;9;Porites cylindrica;14-4-2020;168.7543503;60
MAP;3;10;Acropora verweyi;14-4-2020;135.8500087;10
MAP;3;11;Porites cylindrica;14-4-2020;116.4027972;10
MAP;3;12;Pocillopora verrucose;14-4-2020;186.9954611;70
MAP;3;13;Millepora sp;14-4-2020;225.9795971;60
MAP;3;14;Millepora sp;14-4-2020;125.5353264;100
MAP;3;15;Acropora verweyi;14-4-2020;151.3687991;100
MAP;3;16;Pocillopora verrucose;14-4-2020;201.3554228;40
MAP;3;1;Acropora verweyi;21-4-2020;165.9915874;90
MAP;3;2;Pocillopora verrucose;21-4-2020;173.2714733;90
MAP;3;3;Millepora sp;21-4-2020;154.6005359;20
MAP;3;4;Millepora sp;21-4-2020;170.4725495;10
MAP;3;5;Pocillopora verrucose;21-4-2020;147.1557643;70
MAP;3;6;Porites cylindrica;21-4-2020;147.7211976;20
MAP;3;7;Acropora verweyi;21-4-2020;159.7444848;100
MAP;3;8;Porites cylindrica;21-4-2020;154.0598454;60
MAP;3;9;Porites cylindrica;21-4-2020;133.6990663;30
MAP;3;10;Acropora verweyi;21-4-2020;127.1802439;100
MAP;3;11;Porites cylindrica;21-4-2020;157.5332378;10
MAP;3;12;Pocillopora verrucose;21-4-2020;169.7998769;50
MAP;3;13;Millepora sp;21-4-2020;183.3634875;30
MAP;3;14;Millepora sp;21-4-2020;109.1562386;100
MAP;3;15;Acropora verweyi;21-4-2020;113.3225594;100
MAP;3;16;Pocillopora verrucose;21-4-2020;184.2039671;40
MAP;3;1;Acropora verweyi;5-5-2020;169.7495543;90
MAP;3;2;Pocillopora verrucose;5-5-2020;160.2509837;80
MAP;3;3;Millepora sp;5-5-2020;179.1702094;10
MAP;3;4;Millepora sp;5-5-2020;101.6641252;10
MAP;3;5;Pocillopora verrucose;5-5-2020;142.7133099;10
MAP;3;6;Porites cylindrica;5-5-2020;;0
MAP;3;7;Acropora verweyi;5-5-2020;157.7706545;100
MAP;3;8;Porites cylindrica;5-5-2020;159.1191945;60
MAP;3;9;Porites cylindrica;5-5-2020;167.9977002;40
MAP;3;10;Acropora verweyi;5-5-2020;120.4645928;90
